feature_group,nonzero_count,nonzero_share,mean_total_abs_coefficient,max_total_abs_coefficient
marital_status,9,1.0,3.3585030040691937,5.481468291172587
education_num,9,1.0,0.7413727246142926,0.8004124109411822
capital_gain_log1p,9,1.0,0.4745597230809388,0.5081052878591897
hours_per_week,9,1.0,0.3281737009441678,0.35470159513659805
age,9,1.0,0.3171551431665014,0.3493836529560879
capital_loss_log1p,9,1.0,0.22018698803698997,0.24332969996468598
occupation,8,0.8888888888888888,4.881555447339049,8.998083370334188
relationship,7,0.7777777777777778,1.8091823348837524,3.459058895777307
workclass,7,0.7777777777777778,1.2687011491413882,2.750587600299361
gender,7,0.7777777777777778,0.8606033591317749,2.4852327883106256
native_country_grouped,6,0.6666666666666666,0.6336972135332477,2.4852322385173924
race,6,0.6666666666666666,0.40668338764761625,0.9119657460303009
