family,params,mean_cv_roc_auc,std_cv_roc_auc,mean_cv_f1,std_cv_f1
linear,{'C': 0.1},0.89324281045239,0.0033686004956350484,0.6282692839292912,0.012048964072027426
linear,{'C': 10.0},0.8932053500204938,0.0035463248499904656,0.6290846510087427,0.01254842361046185
linear,{'C': 1.0},0.8931945699026386,0.003506845037321779,0.6285744609542613,0.012558821046447559
poly,"{'C': 1.0, 'degree': 2, 'gamma': 'scale', 'coef0': 1.0}",0.8975150729065541,0.003774631805926481,0.6444067717476712,0.006652284729518795
poly,"{'C': 0.3, 'degree': 2, 'gamma': 'scale', 'coef0': 0.0}",0.8940726022182428,0.003682892920357924,0.6224209756566249,0.003978623778432217
poly,"{'C': 3.0, 'degree': 3, 'gamma': 'scale', 'coef0': 1.0}",0.8833208591781746,0.004841262269061003,0.6506796587163818,0.005359345859644556
poly,"{'C': 1.0, 'degree': 3, 'gamma': 'scale', 'coef0': 0.0}",0.88278362760314,0.006151134027181138,0.6295148020041985,0.004285093442653989
rbf,"{'C': 3.0, 'gamma': 0.05}",0.8923392699592788,0.004911660347146327,0.637394346575198,0.011114599629082953
rbf,"{'C': 0.3, 'gamma': 'scale'}",0.8896038882314441,0.003893224263764374,0.621910642313346,0.005892473798732194
rbf,"{'C': 10.0, 'gamma': 0.05}",0.8871783362344163,0.005560269768448349,0.6502340482782457,0.005469933863295562
rbf,"{'C': 1.0, 'gamma': 'scale'}",0.8869483631484858,0.005075122411920382,0.6309439913446372,0.00787600749401845
rbf,"{'C': 3.0, 'gamma': 'scale'}",0.8841155452813351,0.005425118916648836,0.6513765574978252,0.006417552889680676
rbf,"{'C': 10.0, 'gamma': 'scale'}",0.8799793346546524,0.004190333972981343,0.6551110483297968,0.010713021566066454
