feature_a,feature_b,pairwise_mi,pair_rank
marital_status,relationship,0.7253258064267969,1
workclass,occupation,0.3293243893664596,2
relationship,gender,0.2699378671729155,3
age,marital_status,0.21785455937818954,4
education_num,occupation,0.1869150448954283,5
age,relationship,0.1645484507326844,6
marital_status,gender,0.11102075252697888,7
occupation,gender,0.09809308009975676,8
hours_per_week,occupation,0.08403093657340499,9
occupation,relationship,0.083638904474146,10
hours_per_week,relationship,0.06360305299382962,11
marital_status,occupation,0.052822491498816466,12
age,hours_per_week,0.05016305668927378,13
age,occupation,0.046247237550204844,14
race,native_country_grouped,0.04160923200121404,15
age,workclass,0.04044745080748561,16
hours_per_week,workclass,0.03942122730503944,17
hours_per_week,marital_status,0.03904525767239525,18
hours_per_week,gender,0.03380915977711832,19
age,education_num,0.030514663440544668,20
